BucketIndex,ItemCount
0,84
1,85
2,98
3,92
4,69
5,77
6,80
7,80
8,56
9,62
10,81
11,74
12,92
13,76
14,77
15,81
16,66
17,66
18,79
19,68
20,81
21,75
22,65
23,79
24,99
25,73
26,81
27,84
28,92
29,89
30,87
31,115
32,77
33,85
34,75
35,78
36,81
37,85
38,80
39,95
40,86
41,87
42,81
43,78
44,93
45,65
46,92
47,78
48,52
49,57
50,56
51,79
52,79
53,68
54,63
55,50
56,102
57,95
58,84
59,79
60,109
61,96
62,95
63,84
64,76
65,78
66,78
67,68
68,71
69,84
70,82
71,87
72,60
73,72
74,79
75,66
76,68
77,62
78,74
79,81
80,62
81,73
82,74
83,61
84,60
85,66
86,63
87,81
88,102
89,73
90,97
91,89
92,97
93,83
94,103
95,93
96,69
97,71
98,84
99,65
100,86
101,75
102,81
103,70
104,71
105,87
106,79
107,58
108,70
109,77
110,72
111,75
112,50
113,60
114,65
115,64
116,50
117,82
118,73
119,50
120,80
121,86
122,98
123,97
124,93
125,73
126,107
127,92
