DataSize,MapSize,Collisions,LoadFactor
1000,16,978,62.1250
1000,32,962,31.0625
1000,64,930,15.5313
1000,128,866,7.7656
1000,256,745,3.8828
1000,512,548,1.9414
1000,1024,344,0.9707
5000,16,4862,304.8750
5000,32,4846,152.4375
5000,64,4814,76.2188
5000,128,4750,38.1094
5000,256,4622,19.0547
5000,512,4366,9.5273
5000,1024,3857,4.7637
10000,16,9528,596.5000
10000,32,9512,298.2500
10000,64,9480,149.1250
10000,128,9416,74.5625
10000,256,9288,37.2813
10000,512,9032,18.6406
10000,1024,8520,9.3203
20000,16,18117,1133.3125
20000,32,18101,566.6563
20000,64,18069,283.3281
20000,128,18005,141.6641
20000,256,17877,70.8320
20000,512,17621,35.4160
20000,1024,17109,17.7080
